"name","code_iso_3166_2","code_dane","col","row"
"San Andrés y Providencia","SAP",88,1,1
"La Guajira","LAG",44,5,2
"Atlántico","ATL",8,4,3
"Bolívar","BOL",13,3,3
"Magdalena","MAG",47,5,3
"Cesar","CES",20,5,4
"Córdoba","COR",23,3,4
"Sucre","SUC",70,4,4
"Antioquia","ANT",5,3,5
"Boyacá","BOY",15,5,5
"Chocó","CHO",27,2,5
"Norte de Santander","NSA",54,6,5
"Santander","SAN",68,4,5
"Caldas","CAL",17,4,6
"Cundinamarca","CUN",25,5,6
"Risaralda","RIS",66,3,6
"Valle del Cauca","VAC",76,2,6
"Arauca","ARA",81,7,6
"Casanare","CAS",85,6,6
"Bogotá","DC",11,5,7
"Cauca","CAU",19,2,7
"Meta","MET",50,6,7
"Quindío","QUI",63,3,7
"Tolima","TOL",73,4,7
"Vichada","VID",99,7,7
"Caquetá","CAQ",18,4,8
"Huila","HUI",41,3,8
"Nariño","NAR",52,2,8
"Guainía","GUA",94,6,8
"Guaviare","GUV",95,5,8
"Putumayo","PUT",86,4,9
"Vaupés","VAU",97,5,9
"Amazonas","AMA",91,5,10
