"code","row","col","name"
"JK",1,3,"Jammu and Kashmir"
"PB",2,2,"Punjab"
"HP",2,3,"Himachal Pradesh"
"UK",2,4,"Uttarakhand"
"AR",2,8,"Arunachal Pradesh"
"SK",2,6,"Sikkim"
"HR",3,2,"Haryana"
"DL",3,3,"Delhi"
"UP",3,4,"Uttar Pradesh"
"BR",3,5,"Bihar"
"AS",3,7,"Assam"
"NL",3,8,"Nagaland"
"WB",3,6,"West Bengal"
"RJ",3,1,"Rajasthan"
"MP",4,2,"Madhya Pradesh"
"JH",4,4,"Jharkhand"
"ML",4,7,"Meghalaya"
"MN",4,8,"Manipur"
"CG",4,3,"Chhattisgarh"
"OD",4,5,"Odisha"
"GJ",4,1,"Gujarat"
"MH",5,2,"Maharashtra"
"TS",5,3,"Telangana"
"TR",5,7,"Tripura"
"MZ",5,8,"Mizoram"
"AP",5,4,"Andhra Pradesh"
"GA",6,2,"Goa"
"KA",6,3,"Karnataka"
"TN",7,3,"Tamil Nadu"
"KL",7,2,"Kerala"
