"row","col","code","name"
1,1,"RU-SPE","St.Petersburg"
1,5,"RU-MUR","Murmansk"
2,17,"RU-CHU","Chukotka"
2,18,"RU-KAM","Kamchatka"
2,4,"RU-KR","Karelia"
2,10,"RU-NEN","Nenets"
2,1,"RU-MOW","Moscow"
3,11,"RU-YAN","Yamalo-Nenets"
3,16,"RU-SA","Sakha"
3,17,"RU-MAG","Magadan"
3,3,"RU-LEN","Leningrad"
3,4,"RU-NGR","Novgorod"
3,5,"RU-VLG","Vologda"
3,9,"RU-ARK","Arkhangelsk"
3,10,"RU-KO","Komi"
3,14,"RU-KYA","Krasnoyarsk"
4,11,"RU-KHM","Khanty-Mansi"
4,12,"RU-TYU","Tyumen"
4,8,"RU-ME","Mari El"
4,9,"RU-KIR","Kirov"
4,10,"RU-PER","Perm"
4,16,"RU-AMU","Amur"
4,17,"RU-KHA","Khabarovsk"
4,19,"RU-SAK","Sakhalin"
4,1,"RU-KGD","Kaliningrad"
4,3,"RU-PSK","Pskov"
4,13,"RU-TOM","Tomsk"
4,14,"RU-KEM","Kemerovo"
4,15,"RU-IRK","Irkutsk"
4,4,"RU-TVE","Tver"
4,5,"RU-YAR","Yaroslavl"
4,6,"RU-IVA","Ivanovo"
4,7,"RU-KOS","Kostroma"
5,11,"RU-SVE","Sverdlovsk"
5,12,"RU-KGN","Kurgan"
5,7,"RU-NIZ","Nizhny Novgorod"
5,8,"RU-CU","Chuvashia"
5,9,"RU-TA","Tatarstan"
5,10,"RU-UD","Udmurtia"
5,16,"RU-YEV","Yevreyskaya"
5,13,"RU-NVS","Novosibirsk"
5,14,"RU-KK","Khakassia"
5,15,"RU-BU","Buryatia"
5,3,"RU-SMO","Smolensk"
5,4,"RU-KLU","Kaluga"
5,5,"RU-MOS","Moscow Oblast"
5,6,"RU-VLA","Vladimir"
6,11,"RU-CHE","Chelyabinsk"
6,7,"RU-MO","Mordovia"
6,8,"RU-ULY","Ulyanovsk"
6,9,"RU-SAM","Samara"
6,10,"RU-BA","Bashkortostan"
6,17,"RU-PRI","Primorsky"
6,12,"RU-OMS","Omsk"
6,13,"RU-ALT","Altai Krai"
6,14,"RU-TY","Tuva"
6,15,"RU-ZAB","Zabaykalsky"
6,3,"RU-BRY","Bryansk"
6,4,"RU-ORL","Oryol"
6,5,"RU-TUL","Tula"
6,6,"RU-RYA","Ryazan"
7,7,"RU-PNZ","Penza"
7,8,"RU-SAR","Saratov"
7,9,"RU-ORE","Orenburg"
7,14,"RU-AL","Altai Republic"
7,4,"RU-KRS","Kursk"
7,5,"RU-LIP","Lipetsk"
7,6,"RU-TAM","Tambov"
8,5,"RU-BEL","Belgorod"
8,6,"RU-VOR","Voronezh"
8,7,"RU-VGG","Volgograd"
9,2,"UA-43","Crimea"
9,4,"RU-AD","Adygea"
9,5,"RU-KDA","Krasnodar"
9,6,"RU-ROS","Rostov"
9,7,"RU-KL","Kalmykia"
9,8,"RU-AST","Astrakhan"
9,1,"UA-40","Sevastopol"
10,5,"RU-KC","Karachay-Cherkessia"
10,6,"RU-STA","Stavropol"
10,7,"RU-CE","Chechnya"
10,8,"RU-DA","Dagestan"
11,5,"RU-KB","Kabardino-Balkaria"
11,6,"RU-SE","North Ossetia"
11,7,"RU-IN","Ingushetia"
