"row","col","code","name"
3,4,"TLM6","Highlands and Islands"
3,5,"TLM5","North Eastern Scotland"
4,4,"TLM8","West Central Scotland"
4,5,"TLM7","Eastern Scotland"
5,4,"TLM9","Southern Scotland"
6,5,"TLC2","Northumberland"
7,5,"TLC1","Tees Valley and Durham"
7,4,"TLD1","Cumbria"
8,4,"TLD4","Lancashire"
8,6,"TLE2","North Yorkshire"
6,2,"TLN0","Northern Ireland"
8,5,"TLE4","West Yorkshire"
9,5,"TLE3","South Yorkshire"
9,6,"TLE1","East Yorkshire and Northern Lincolnshire"
9,3,"TLD7","Merseyside"
9,4,"TLD3","Greater Manchester"
10,6,"TLF3","Lincolnshire"
10,4,"TLD6","Cheshire"
10,5,"TLF1","Derbyshire and Nottinghamshire"
11,4,"TLG2","Shropshire and Staffordshire"
11,5,"TLF2","Leicestershire Rutland and Northamptonshire"
12,2,"TLL1","West Wales and The Valleys"
12,4,"TLG3","West Midlands"
12,6,"TLH1","East Anglia"
12,5,"TLH2","Bedfordshire and Hertfordshire"
12,3,"TLL2","East Wales"
13,4,"TLG1","Herefordshire Worcestershire and Warwickshire"
13,7,"TLH3","Essex"
13,5,"TLI7","Outer London - West and North West"
13,6,"TLI5","Outer London - East and North East"
14,3,"TLK1","Gloucestershire Wiltshire and Bath/Bristol area"
14,4,"TLJ1","Berkshire Buckinghamshire and Oxfordshire"
14,5,"TLI3","In"
