"row","col","name","code"
1,4,"Jo Daviess",17043
1,5,"Stephenson",17177
1,6,"Winnebago",17201
1,7,"Boone",17007
1,8,"McHenry",17111
1,9,"Lake",17097
2,4,"Carroll",17015
2,5,"Ogle",17141
2,6,"DeKalb",17037
2,7,"Kane",17089
2,8,"DuPage",17043
2,9,"Cook",17031
3,5,"Whiteside",17195
3,6,"Lee",17103
3,8,"Kendall",17093
3,9,"Will",17197
3,3,"Rock Island",17161
3,7,"La Salle",17099
3,4,"Henry",17073
4,4,"Bureau",17011
4,6,"Putnam",17155
4,8,"Grundy",17063
4,9,"Kankakee",17091
4,3,"Mercer",17131
4,7,"Livingston",17105
4,5,"Stark",17175
5,7,"Marshall",17123
5,9,"Iroquois",17075
5,4,"Knox",17095
5,3,"Warren",17187
5,2,"Henderson",17071
5,5,"Peoria",17143
5,6,"Woodford",17203
5,8,"Ford",17053
6,1,"Hancock",17067
6,2,"McDonough",17109
6,3,"Fulton",17057
6,4,"Tazewell",17179
6,5,"McLean",17113
6,8,"Champaign",17019
6,9,"Vermilion",17183
6,7,"De Witt",17039
6,6,"Logan",17107
7,1,"Adams",17001
7,2,"Schuyler",17169
7,3,"Mason",17125
7,4,"Brown",17009
7,5,"Cass",17017
7,6,"Menard",17129
7,7,"Piatt",17147
7,8,"Moultrie",17139
7,9,"Edgar",17045
8,2,"Pike",17149
8,3,"Scott",17171
8,4,"Morgan",17137
8,6,"Sangamon",17167
8,7,"Macon",17115
8,8,"Douglas",17041
8,9,"Clark",17023
8,5,"Christian",17021
9,7,"Shelby",17173
9,5,"Macoupin",17117
9,2,"Calhoun",17013
9,4,"Greene",17061
9,6,"Montgomery",17135
9,9,"Cumberland",17035
9,3,"Jersey",17083
9,8,"Coles",17029
10,4,"Madison",17119
10,5,"Bond",17005
10,6,"Fayette",17051
10,7,"Effingham",17049
10,8,"Jasper",17079
10,9,"Crawford",17033
11,4,"St Clair",17163
11,5,"Clinton",17027
11,6,"Marion",17121
11,7,"Clay",17025
11,8,"Richland",17159
11,9,"Lawrence",17101
12,4,"Monroe",17133
12,5,"Washington",17189
12,6,"Jefferson",17081
12,7,"Wayne",17191
12,8,"Edwards",17047
12,9,"Wabash",17185
13,5,"Randolph",17157
13,6,"Perry",17145
13,7,"Franklin",17055
13,8,"Hamilton",17065
13,9,"White",17193
14,6,"Jackson",17077
14,7,"Williamson",17199
14,8,"Saline",17165
14,9,"Gallatin",17059
15,6,"Union",17181
15,7,"Johnson",17087
15,8,"Pope",17151
15,9,"Hardin",17069
16,6,"Alexander",17003
16,7,"Pulaski",17153
16,8,"Massac",17127
