"row","col","name","code"
1,2,"Central Washington Initiative",10
1,3,"Colville Northeast Washington Vision",21
1,4,"Kootenai Complex",7
2,2,"Mount Hood Forest Health and Fire-Resilient Communities",16
2,4,"Nez Perce-Clearwater-Lower Salmon",15
3,2,"Central Oregon",9
3,4,"Southwest Idaho",6
4,2,"Klamath River Basin",17
4,1,"Trinity Forest Health and Fire-Resilient Rural Communities",14
4,5,"Wasatch",20
4,7,"Colorado Front Range",5
5,2,"Plumas Community Protection",12
5,5,"Pine Valley",19
6,4,"Sierra and Elko Fronts",18
6,2,"North Yuba",3
6,7,"Enchanted Circle",8
7,3,"Stanislaus",4
7,5,"Prescott",2
7,6,"4FRI",1
8,4,"Southern California Fireshed Risk Reduction Strategy",13
8,6,"San Carlos Apache Tribal Forest Protection",11
